LocalDateTime,UTCSeconds,Value
9/1/2022 13:19:57,9/1/2022 18:19:57,57.64437
9/1/2022 13:20:08,9/1/2022 18:20:08,57.66875
9/1/2022 13:20:13,9/1/2022 18:20:13,57.50625
9/1/2022 13:20:15,9/1/2022 18:20:15,57.23
9/1/2022 13:20:28,9/1/2022 18:20:28,56.98625
9/1/2022 13:20:35,9/1/2022 18:20:35,56.89687
9/1/2022 13:20:44,9/1/2022 18:20:44,56.92125
9/1/2022 13:20:47,9/1/2022 18:20:47,56.57188
9/1/2022 13:20:53,9/1/2022 18:20:53,56.5475
9/1/2022 13:20:58,9/1/2022 18:20:58,56.81562
9/1/2022 13:21:06,9/1/2022 18:21:06,57.60375
9/1/2022 13:21:13,9/1/2022 18:21:13,58.63562
9/1/2022 13:21:19,9/1/2022 18:21:19,59.10688
9/1/2022 13:21:26,9/1/2022 18:21:26,59.97625
9/1/2022 13:21:33,9/1/2022 18:21:33,60.5775
9/1/2022 13:21:35,9/1/2022 18:21:35,60.6425
9/1/2022 13:21:41,9/1/2022 18:21:41,61.08125
9/1/2022 13:21:45,9/1/2022 18:21:45,61.25188
9/1/2022 13:21:53,9/1/2022 18:21:53,61.46312
9/1/2022 13:22:05,9/1/2022 18:22:05,61.56875
9/1/2022 13:22:08,9/1/2022 18:22:08,61.6825
9/1/2022 13:22:13,9/1/2022 18:22:13,61.6175
9/1/2022 13:22:32,9/1/2022 18:22:32,61.78
9/1/2022 13:22:33,9/1/2022 18:22:33,61.85313
9/1/2022 13:22:39,9/1/2022 18:22:39,61.78
9/1/2022 13:22:47,9/1/2022 18:22:47,61.78
9/1/2022 13:23:03,9/1/2022 18:23:03,61.8775
9/1/2022 13:23:08,9/1/2022 18:23:08,61.80437
9/1/2022 13:23:10,9/1/2022 18:23:10,61.89375
9/1/2022 13:23:15,9/1/2022 18:23:15,62.47875
9/1/2022 13:23:19,9/1/2022 18:23:19,62.70625
9/1/2022 13:23:34,9/1/2022 18:23:34,62.73063
9/1/2022 13:23:45,9/1/2022 18:23:45,62.47063
9/1/2022 13:23:50,9/1/2022 18:23:50,62.3
9/1/2022 13:24:01,9/1/2022 18:24:01,61.66625
9/1/2022 13:24:06,9/1/2022 18:24:06,61.17062
9/1/2022 13:24:11,9/1/2022 18:24:11,60.84563
9/1/2022 13:24:15,9/1/2022 18:24:15,60.6425
9/1/2022 13:24:23,9/1/2022 18:24:23,59.85437
9/1/2022 13:24:32,9/1/2022 18:24:32,59.26937
9/1/2022 13:24:35,9/1/2022 18:24:35,59.2125
9/1/2022 13:24:47,9/1/2022 18:24:47,58.84687
9/1/2022 13:24:57,9/1/2022 18:24:57,58.73312
9/1/2022 13:25:02,9/1/2022 18:25:02,58.55437
9/1/2022 13:25:11,9/1/2022 18:25:11,58.48938
9/1/2022 13:25:18,9/1/2022 18:25:18,58.09938
9/1/2022 13:25:26,9/1/2022 18:25:26,57.89625
9/1/2022 13:25:29,9/1/2022 18:25:29,57.75813
9/1/2022 13:25:41,9/1/2022 18:25:41,57.69313
9/1/2022 13:25:44,9/1/2022 18:25:44,57.61187
9/1/2022 13:25:50,9/1/2022 18:25:50,57.73375
9/1/2022 13:25:57,9/1/2022 18:25:57,57.7175
9/1/2022 13:26:08,9/1/2022 18:26:08,58.0425
9/1/2022 13:26:12,9/1/2022 18:26:12,57.9775
9/1/2022 13:26:20,9/1/2022 18:26:20,58.18875
9/1/2022 13:26:26,9/1/2022 18:26:26,58.2375
9/1/2022 13:26:34,9/1/2022 18:26:34,58.92
9/1/2022 13:26:47,9/1/2022 18:26:47,59.61063
9/1/2022 13:26:54,9/1/2022 18:26:54,59.78125
9/1/2022 13:27:08,9/1/2022 18:27:08,59.54562
9/1/2022 13:27:39,9/1/2022 18:27:39,59.74062
9/1/2022 13:27:48,9/1/2022 18:27:48,59.77312
9/1/2022 13:27:54,9/1/2022 18:27:54,60.16312
9/1/2022 13:28:04,9/1/2022 18:28:04,60.71563
9/1/2022 13:28:12,9/1/2022 18:28:12,60.92688
9/1/2022 13:28:19,9/1/2022 18:28:19,61.04063
9/1/2022 13:28:24,9/1/2022 18:28:24,61.44688
9/1/2022 13:28:35,9/1/2022 18:28:35,61.5525
9/1/2022 13:28:50,9/1/2022 18:28:50,61.54438
9/1/2022 13:28:57,9/1/2022 18:28:57,61.46312
9/1/2022 13:29:00,9/1/2022 18:29:00,61.34125
9/1/2022 13:29:24,9/1/2022 18:29:24,61.10563
9/1/2022 13:29:38,9/1/2022 18:29:38,60.99187
9/1/2022 13:29:41,9/1/2022 18:29:41,60.6425
9/1/2022 13:30:02,9/1/2022 18:30:02,60.35812
9/1/2022 13:30:06,9/1/2022 18:30:06,60.1875
9/1/2022 13:30:16,9/1/2022 18:30:16,59.52937
9/1/2022 13:30:22,9/1/2022 18:30:22,59.04187
9/1/2022 13:30:37,9/1/2022 18:30:37,58.84687
9/1/2022 13:30:56,9/1/2022 18:30:56,58.92
9/1/2022 13:31:14,9/1/2022 18:31:14,59.09063
9/1/2022 13:31:37,9/1/2022 18:31:37,59.17188
9/1/2022 13:31:56,9/1/2022 18:31:56,59.25312
9/1/2022 13:32:11,9/1/2022 18:32:11,59.25312
9/1/2022 13:32:20,9/1/2022 18:32:20,59.26125
9/1/2022 13:32:31,9/1/2022 18:32:31,59.3425
9/1/2022 13:32:33,9/1/2022 18:32:33,59.41563
9/1/2022 13:32:44,9/1/2022 18:32:44,59.48063
9/1/2022 13:32:48,9/1/2022 18:32:48,59.61063
9/1/2022 13:32:55,9/1/2022 18:32:55,60.60188
9/1/2022 13:32:59,9/1/2022 18:32:59,60.94313
9/1/2022 13:33:03,9/1/2022 18:33:03,61.08125
9/1/2022 13:33:20,9/1/2022 18:33:20,61.13
9/1/2022 13:33:39,9/1/2022 18:33:39,61.21125
9/1/2022 13:33:44,9/1/2022 18:33:44,61.3575
9/1/2022 13:33:46,9/1/2022 18:33:46,61.33313
9/1/2022 13:33:49,9/1/2022 18:33:49,61.1625
9/1/2022 13:33:59,9/1/2022 18:33:59,61.21125
9/1/2022 13:34:01,9/1/2022 18:34:01,61.39812
9/1/2022 13:34:02,9/1/2022 18:34:02,61.34125
9/1/2022 13:34:08,9/1/2022 18:34:08,61.52
9/1/2022 13:34:12,9/1/2022 18:34:12,61.65
9/1/2022 13:34:17,9/1/2022 18:34:17,61.585
9/1/2022 13:34:21,9/1/2022 18:34:21,62.08875
9/1/2022 13:34:24,9/1/2022 18:34:24,62.47875
9/1/2022 13:34:27,9/1/2022 18:34:27,62.7225
9/1/2022 13:34:33,9/1/2022 18:34:33,62.93375
9/1/2022 13:34:50,9/1/2022 18:34:50,62.82813
9/1/2022 13:34:54,9/1/2022 18:34:54,62.67375
9/1/2022 13:35:02,9/1/2022 18:35:02,61.8125
9/1/2022 13:35:08,9/1/2022 18:35:08,61.40625
9/1/2022 13:35:17,9/1/2022 18:35:17,60.50438
9/1/2022 13:35:21,9/1/2022 18:35:21,60.23625
9/1/2022 13:35:29,9/1/2022 18:35:29,59.52125
9/1/2022 13:35:34,9/1/2022 18:35:34,59.32625
9/1/2022 13:35:39,9/1/2022 18:35:39,58.595
9/1/2022 13:35:43,9/1/2022 18:35:43,58.21312
9/1/2022 13:35:50,9/1/2022 18:35:50,58.00188
9/1/2022 13:35:53,9/1/2022 18:35:53,57.92875
9/1/2022 13:36:00,9/1/2022 18:36:00,58.01
9/1/2022 13:36:07,9/1/2022 18:36:07,58.24562
9/1/2022 13:36:16,9/1/2022 18:36:16,58.4
9/1/2022 13:36:28,9/1/2022 18:36:28,58.51375
9/1/2022 13:36:41,9/1/2022 18:36:41,58.61125
9/1/2022 13:36:51,9/1/2022 18:36:51,58.55437
9/1/2022 13:37:08,9/1/2022 18:37:08,58.74125
9/1/2022 13:37:11,9/1/2022 18:37:11,58.83875
9/1/2022 13:37:24,9/1/2022 18:37:24,58.93625
9/1/2022 13:37:26,9/1/2022 18:37:26,59.0175
9/1/2022 13:37:36,9/1/2022 18:37:36,59.13937
9/1/2022 13:37:41,9/1/2022 18:37:41,59.26125
9/1/2022 13:37:48,9/1/2022 18:37:48,59.29375
9/1/2022 13:37:51,9/1/2022 18:37:51,59.58625
9/1/2022 13:37:56,9/1/2022 18:37:56,60.09
9/1/2022 13:38:03,9/1/2022 18:38:03,60.39063
9/1/2022 13:38:06,9/1/2022 18:38:06,60.60188
9/1/2022 13:38:10,9/1/2022 18:38:10,60.7075
